Organization Name,Organization Name URL,Company Type,IPO Status,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
Effectiv,https://www.crunchbase.com/organization/effectiv,For Profit,Private,Seed,"Analytics, FinTech","Effectiv is a next-gen fraud management platform with out-of-box solutions designed specifically for financial institutions. Effectiv’s focus is to significantly reduce the time it takes to deploy and adapt fraud detection strategies without adding any friction to good users.   The Effectiv platform comes with an easy to use, no-code, orchestration & rule engine with pre-built integrations to all industry standard data & intelligence providers; an AI-assisted case management system built to increase investigator efficiency; and a powerful reporting and analytics dashboard. About us: Our founding team has over 30 years of combined experience in building risk mitigation systems at companies like Google, PayPal and Walmart. We were also part of the early team at Simility (acquired by PayPal), where we developed fraud detection solutions for large banks like US Bank, Synchrony, Discover, Zions, Itau and Santander.","San Francisco, California, United States",11-50,Active,9560000,USD,9560000,4500000,USD,4500000,2023-07-26,
OpenCover,https://www.crunchbase.com/organization/opencover,For Profit,Private,Seed,"Blockchain, Finance, Financial Services, FinTech, Information Technology, Software, Virtual Currency",OpenCover operates as a source for DeFi insurance and cover data. Its mission is to help DeFi users protect themselves against technical and economic risks.,"London, England, United Kingdom",1-10,Active,4000000,USD,4000000,4000000,USD,4000000,2023-09-07,
Caliza,https://www.crunchbase.com/organization/caliza,For Profit,Private,Seed,"Financial Services, FinTech","Caliza is a digital economy platform designed to allow fintech companies. They offer services such as neo-banking, brokerage, wallets, and a B2B marketplace, and also help with shipping and export transactions, enabling users to save money and grow wealth with rates on their balances.","Miami, Florida, United States",1-10,Active,5300000,USD,5300000,5300000,USD,5300000,2023-09-13,
Kotani Pay,https://www.crunchbase.com/organization/kotani-pay,For Profit,Private,Pre-Seed,"Financial Services, FinTech","Kotani Pay is a technology stack that enables blockchain protocols, dapps, and blockchain fintech companies to integrate seamlessly to local payment channels providing them with a reliable on ramp and off ramp service to reach a wider customer base in Africa.","Nairobi, Nairobi Area, Kenya",1-10,Active,4186000,USD,4186000,2000000,USD,2000000,2023-09-05,hello@kotanipay.com
Snowball Wealth,https://www.crunchbase.com/organization/snowball-wealth-6e26,For Profit,Private,Pre-Seed,"Financial Services, FinTech, Information Technology, Mobile Apps, Personal Finance","Snowball Wealth develops a mobile app that offers an online community, social challenges, and AI-driven planning to help users to tackle debt and build generational wealth. Snowball Wealth’s community-driven approach removes the taboo around talking about debt, income, and investing. The AI-driven planning provides a personalized roadmap to guide members on how to get out of debt and begin investing. Snowball Wealth is focused on financial education and planning for individuals.","San Francisco, California, United States",11-50,Active,3200000,USD,3200000,1600000,USD,1600000,2022-10-18,hello@snowballwealth.com
yeekatee,https://www.crunchbase.com/organization/yeekatee,For Profit,Private,Seed,"FinTech, Social Media","yeekatee empowers retail investors by providing them with the aggregation tool and resources to make informed decisions and optimize their portfolios. By combining the power of social media and cutting-edge investing tools, yeekatee is transforming how people invest and share knowledge in the digital age.","Zürich, Zurich, Switzerland",1-10,Active,2516743,USD,2516743,550000,CHF,616742,2023-09-11,info@yeekatee.com
Finicast,https://www.crunchbase.com/organization/finicast,For Profit,Private,Seed,"Analytics, FinTech, Software","Finicast provides business financial planning and analysis software. Finicast software assists FP&A teams, financial analysts, and businesses in developing detailed and scalable financial forecasts, as well as financial management and tracking solutions.","San Mateo, California, United States",1-10,Active,24273984,USD,24273984,12800000,USD,12800000,2023-07-27,
Flex,https://www.crunchbase.com/organization/flex-9e13,For Profit,Private,Seed,"Apps, Billing, Financial Services, FinTech, Software","Flex is a fintech startup that is building the infrastructure to enable flexible bill payments for all Americans, starting with a common and expensive rent. They make sure that their customers' rents are paid on time every month. This allows their users to have more cash on hand, save more money, and ultimately avoid unnecessary debt.","New York, New York, United States",51-100,Active,5800000,USD,5800000,5500000,USD,5500000,2019-11-01,help@getflex.com
Monite,https://www.crunchbase.com/organization/monite,For Profit,Private,Seed,"Financial Services, FinTech, Payments, SaaS, Software","Monite is an add invoicing and payables automation management platform. Monite is building an embedded finance automation solution. In 3-5 weeks, Monite enables B2B brands to integrate invoicing, AP automation, and expense management into their current interface.","Berlin, Berlin, Germany",11-50,Active,12765838,USD,12765838,5000000,USD,5000000,2023-03-20,hello@monite.com
Numeral,https://www.crunchbase.com/organization/numeral-9f11,For Profit,Private,Seed,"Financial Services, FinTech, Information Technology",Numeral provides fully automated revenue recognition and transaction-level cash reconciliation for high-volume businesses. The company's automated subledger provides real-time revenue reporting and transaction-level cash reconciliation for the digital payments era.,"San Francisco, California, United States",11-50,Active,4575000,USD,4575000,3575000,USD,3575000,2023-09-05,hello@gonumeral.com
Robot Ventures,https://www.crunchbase.com/organization/robot-ventures,For Profit,Private,Seed,"Blockchain, FinTech, Venture Capital","Robot Ventures is a (pre-)seed investor in exceptional fintech and blockchain companies led by founders with big ambitions, and contrarian worldviews.","San Francisco, California, United States",,Active,5000000,USD,5000000,4000000,USD,4000000,2020-09-30,sayhello@robvc.com
Numeral,https://www.crunchbase.com/organization/numeral-479d,For Profit,Private,Seed,"Finance, Financial Services, FinTech","Numeral is a payment automation API designed for modern financial institutions, digital firms, and businesses.","Paris, Ile-de-France, France",1-10,Active,13000000,EUR,14673498,13000000,EUR,14673497,2021-12-21,
Sweater,https://www.crunchbase.com/organization/sweater,For Profit,Private,Seed,"Financial Services, FinTech, Venture Capital","Sweater is a fintech company building the first fully-managed venture capital fund that is open to everyday investors. Our mobile-first experience allows you direct access to the world's most exclusive asset class—Venture Capital. Sweater’s mission is to empower everyone to become investors in the next generation of venture-backed startups. Every founder should be able to build their vision, and every person should be able to take part in the founder journeys that create the next generation of influence and wealth.","Boulder, Colorado, United States",11-50,Active,14300000,USD,14300000,12000000,USD,12000000,2022-02-24,team@sweaterventures.com
Swallow,https://www.crunchbase.com/organization/swallow,For Profit,Private,Pre-Seed,"B2B, FinTech, InsurTech, SaaS",,,1-10,Active,1000000,USD,1000000,1000000,USD,1000000,2023-09-05,contact@llow.io
qlub,https://www.crunchbase.com/organization/qlub,For Profit,Private,Seed,"Financial Services, FinTech, Payments, Restaurants","Qlub develops a fast and secure payment solution for consumers in restaurants. Qlub allows restaurant, pub, and cafe owners to present their menus and accept payments in seconds. It's the kind of fast-paced stuff that people are used to, with the added benefit of keeping staff and guests happy. Qlub only takes 10 seconds to pay by scanning a QR code, paying with one click, and walking away. All of this is possible without the need to install an app.","Dubai, Dubai, United Arab Emirates",101-250,Active,42000000,USD,42000000,25000000,USD,25000000,2023-03-17,info@qlub.io
Devolut,https://www.crunchbase.com/organization/devolut-74e8,For Profit,Private,Pre-Seed,"Business Development, E-Commerce, FinTech, Last Mile Transportation, Marketing, Product Design, SaaS, Sales","Devolut offers a product designed for businesses and enhancing customer experience. The Company uses intelligent algorithms to boost sales, reduce costs, and improve customer experience through reusable shipments and a real-time management portal.","Mexico City, Distrito Federal, Mexico",1-10,Active,600000,USD,600000,600000,USD,600000,2023-08-28,contact@devolut.tech
Ascension,https://www.crunchbase.com/organization/ascension-ventures-limited,For Profit,Private,Pre-Seed,"Financial Services, FinTech, Venture Capital","Ascension is an early-stage VC built by exited entrepreneurs to back the next generation of tech and impact founders. Run by an experienced and diverse team of successful entrepreneurs, we have been relentlessly dedicated to finding the UK’s best Seed-stage startups since 2014. Ascension benefits from the active industry connections essential for the sourcing and development of deal-flow and due diligence. The team has co-invested with the UK’s leading angels and VCs, key to securing follow-on funding as the portfolio businesses move to their next stage of growth. We believe in building an inclusive, community driven brand that can benefit the wider UK tech ecosystem and strive to work with conviction, integrity, humour, and humility.","London, England, United Kingdom",11-50,Active,85000,GBP,129210,,,,2018-11-21,info@ascension.vc
Finofo,https://www.crunchbase.com/organization/finofo,For Profit,Private,Pre-Seed,"FinTech, Payments, Risk Management","Finofo is a financial technology company that enables organisations to manage their foreign exchange requirements and exposure from a single integrated platform. Finofo’s technology empowers financial decision makers to measure and understand currency risk in their operations, perform stress tests on their businesses, and hedge currency risk with hyper-individualised strategy recommendations. The technology issues real-time alerts to inform financial decision makers of suitable adjustments to their hedging strategies based on their business’ unique risk objectives and live market movements. Finofo aims to make cross-border payments and foreign exchange risk management transparent, accessible and a real-time process.","Calgary, Alberta, Canada",1-10,Active,1250000,USD,1250000,1250000,USD,1250000,2023-08-15,
Alix,https://www.crunchbase.com/organization/alix-9151,For Profit,Private,Seed,"FinTech, Legal Tech","Alix is powering wealth across generations. Over the next 2 decades $84 trillion of wealth will be transferred within families. Alix is the platform and service provider to make that transfer totally seamless so those families can focus on what’s most important, each other.","San Francisco, California, United States",11-50,Active,5500000,USD,5500000,5500000,USD,5500000,2023-09-07,info@meetalix.com
CapStack,https://www.crunchbase.com/organization/capstack,For Profit,Private,Pre-Seed,"Banking, Financial Services, FinTech, Information Technology",CapStack is a banking system that encourages collaboration among banks and financial services providers in order to boost asset profitability and diversification.,"Miami, Florida, United States",1-10,Active,6000000,USD,6000000,6000000,USD,6000000,2023-07-12,contact@capstack.com
EMTECH,https://www.crunchbase.com/organization/emtech-9fe5,For Profit,Private,Seed,"Big Data, Developer APIs, Financial Services, FinTech, Payments","EMTECH is a fintech company that modernizes central banks for financial inclusion and financial market resilience. It offers an API-First Platform that connects central banks and fintechs for embedded regulatory compliance and central bank digital currency.  The company is building the next generation of central banking infrastructure for the Web3 era. The company was founded in 2019 and is based in New York, New York.","New York, New York, United States",11-50,Active,13000000,USD,13000000,4000000,USD,4000000,2023-08-03,info@emtech.com
Wealth.com,https://www.crunchbase.com/organization/wealth-67af,For Profit,Private,Seed,"Artificial Intelligence, Financial Services, FinTech, Machine Learning, Wealth Management","Wealth is a comprehensive estate planning platform that empowers people to create, manage and visualize their plans digitally. Creating an estate plan with Wealth gives your loved ones a holistic view of all your assets, visualized and securely stored in one place. Because life is unpredictable, Wealth makes it easy for you to access your plan anytime and offers guidance to keep it current and valid. And should the unthinkable occur, your trusted beneficiaries are granted emergency access to your plan. Wealth is available to companies as an employee benefit, allowing employers to offer their workforce a meaningful financial wellness opportunity.","Phoenix, Arizona, United States",11-50,Active,16000000,USD,16000000,16000000,USD,16000000,2022-03-22,
Efficient Capital Labs,https://www.crunchbase.com/organization/efficient-capital-labs,For Profit,Private,Seed,"Financial Services, FinTech, SaaS","Efficient Capital Labs provides capital in a fast, seamless, and cost-effective manner to SaaS Businesses. Efficient Capital is the new Venture Capital. Efficient Capital cater to B2B SaaS businesses that maintain a significant product and operations presence in India, while generating their revenues from the US and other top markets. The firm also helps businesses to a non-dilutive capital to help grow the business.","New York, New York, United States",1-10,Active,110500000,USD,110500000,7000000,USD,7000000,2023-07-13,contact@ecaplabs.com
Glean AI,https://www.crunchbase.com/organization/glean-analytics,For Profit,Private,Seed,"Artificial Intelligence, FinTech, Machine Learning, Payments, SaaS, Software","Glean is the all-in-one spend management solution for small and mid-market companies. It is an AI-powered spend intelligence solution that saves companies money by analyzing expense drivers and finding line-item level insights often overlooked by finance teams and budget owners. The company is based in New York, United States.","New York, New York, United States",11-50,Active,10800000,USD,10800000,7800000,USD,7800000,2022-03-08,
Payrails,https://www.crunchbase.com/organization/payrails,For Profit,Private,Seed,"Developer APIs, Enterprise Software, Financial Services, FinTech, Mobile Payments, Payments","Payrails enables high-growth companies to craft their payment experiences and financial services globally. Our ledger-based operating system Payrails OS allows enterprises to build, operate, and scale payment acceptance and embed financial services without the need for a costly and complex in-house infrastructure. We are joined in our mission by top-tier investors Andreessen Horowitz and HV Capital to enable us to solve the growing complexity of payments. Payrail was founded in 2021 and is based in Berlin, Germany.","Berlin, Berlin, Germany",11-50,Active,20800000,USD,20800000,14400000,USD,14400000,2023-06-07,contact@payrails.com
Ocean Protocol,https://www.crunchbase.com/organization/ocean-protocol,For Profit,Private,Seed,"Big Data, Blockchain, Cryptocurrency, Ethereum, FinTech, Information Technology","Ocean Protocol is a decentralized data exchange protocol that lets people share and monetize data. It uses advanced blockchain technology that allows data to be shared and sold in a safe, secure and transparent manner. They enable a decentralized platform and network that connects providers and consumers of valuable data, while providing open access for developers to build services. Ocean Protocol was founded in 2017 and is based in Singapore.","Singapore, Central Region, Singapore",51-100,Active,33100000,USD,33100000,5000000,USD,5000000,2022-05-23,info@oceanprotocol.com
Layer N,https://www.crunchbase.com/organization/layer-n,For Profit,Private,Seed,"Blockchain, Ethereum, FinTech","Layer N develops a hyper-performant rollup network designed to scale financial applications on Ethereum. It is composed of hyper-performant and customized modular rollups, with scalability, shared communication layers for unified liquidity, and supercharged APIs.",,,Active,5000000,USD,5000000,5000000,USD,5000000,2023-09-13,hello@layern.com
CHEQ,https://www.crunchbase.com/organization/cheq-0467,For Profit,Private,Seed,"FinTech, Payments, Social, Software","CHEQ is the world's first social payments platform, connecting consumers and businesses to create frictionless, amazing in-person experiences. CHEQ's universal ordering and payment app can be used by restaurants, stadiums, hotels, and more to make transactions fun, easy, and worry- free. Users can even send food and drinks directly to their friends from anywhere in the world. CHEQ lets venues retain their unique branding within the app and keep their direct relationships with their guests.","Kirkland, Washington, United States",11-50,Active,13470000,USD,13470000,8000000,USD,8000000,2022-09-21,info@cheq.io
Qashio,https://www.crunchbase.com/organization/qashio,For Profit,Private,Seed,"Accounting, Financial Services, FinTech, Payments, Productivity Tools, Software","Qashio is a spend management platform that allows people to monitor costs, make payments with app credit cards, and handle payables. Qashio's solution allows users o create physical or virtual cards, disburse budgets, grant or restrict employee usage, set approval layers, and verify spending. Companies can track card usage and analyze and report spending, in real time. Qashio eliminates the challenges of managing company spending and removes outdated, manual processes. Founded in 2021 and is based in Dubai.","Dubai, Dubai, United Arab Emirates",11-50,Active,12500000,USD,12500000,10000000,USD,10000000,2022-11-22,sales@qashio.com
SaveIN,https://www.crunchbase.com/organization/savein,For Profit,Private,Seed,"Credit, FinTech, Health Care",SaveIN is a healthcare fintech platform that helps Indians access quality healthcare across its network of clinics and wellness centers offering flexible payment plans,"New Delhi, Delhi, India",11-50,Active,628000000,INR,8023598,82000000,INR,989110,2022-12-26,support@savein.money
Autonomy,https://www.crunchbase.com/organization/autonomy-c1bb,For Profit,Private,Seed,"FinTech, InsurTech","Autonomy is a technology company on a mission to make access to mobility easy and affordable through car subscriptions. The company was founded by auto retail, auto finance, and auto insurance disruptors Scott Painter and Georg Bauer, who founded Fair, the first-ever used-vehicle subscription offering, pioneering the Car-as-a-Service (CaaS) category. Building upon that experience, Autonomy has created a turnkey vehicle subscription platform for consumers and the automotive industry that enables vehicle subscriptions to scale profitably and become a mainstream alternative to traditional car buying. Autonomy is innovating through technology, finance, and insurance to power car subscriptions for the used-vehicle sector, as well as the battery electric vehicle and zero emissions vehicle sectors. Autonomy relies on partnerships with automakers and brick-and-mortar car dealerships to provide a benefit to both consumers and the industry. Autonomy represents freedom from long-term debt, freedom from long-term commitments, and even freedom from fossil fuels. It means new choices and more control over your financial well-being. Autonomy is based in Santa Monica, CA.","Santa Monica, California, United States",101-250,Active,20000000,USD,20000000,,,,2021-09-23,support@autonomy.com
Finary,https://www.crunchbase.com/organization/finary,For Profit,Private,Seed,"Asset Management, FinTech, Social Network, Trading Platform","Finary is a messaging platform for investors. A place where people come together to talk about their investments, hangout, and more.","New York, New York, United States",1-10,Active,3325000,USD,3325000,,,,2021-12-26,roger@finary.io
UPTIQ,https://www.crunchbase.com/organization/cion-digital,For Profit,Private,Seed,"Financial Services, FinTech, Lending, Wealth Management","UPTIQ connects wealth advisors and their clients to a comprehensive set of financial services products, making holistic wealth management a reality. We help advisors protect their AUM, grow their clients wealth and generate additional income. The UPTIQ Financial Intelligence Platform turns investment experts into financial superheroes using data analytics and artificial intelligence to carefully match, curate and fulfill the best financing solutions for their clients, putting decades of financial expertise at their fingertips.","Plano, Texas, United States",11-50,Active,12000000,USD,12000000,,,,2023-01-01,info@uptiq.ai
Nira,https://www.crunchbase.com/organization/nira,For Profit,Private,Seed,"Credit, Financial Services, FinTech, Lending","Nira promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Bangalore, Karnataka, India",11-50,Active,6692906,USD,6692906,186800000,INR,2472906,2022-02-10,support@nirafinance.com
IppoPay,https://www.crunchbase.com/organization/ippopay,For Profit,Private,Seed,"Financial Services, FinTech, Payments, Small and Medium Businesses","IppoPay provides Payment Solutions to Small businesses, SMEs, and Freelancers. IppoPay is a Payment Aggregator for businesses that collect and accept payments from their customers using Payment links, Invoice, Subscription, Social Commerce, and UPI. We target businesses, freelancers, homeprenures, and people who do business in Tier 2 and 3 cities, and rural areas Subscription: IppoPay helps small business like milk vendors, newspaper agencies, and Service AMC business/individuals to receive monthly/weekly/daily recurring payments Social Commerce: IppoPay helps bring offline business online. Create your online store in 20 sec. Create an online, showcase & manage your products over social media and increase your sales. UPI and Tap to Phone: We have all kinds of stores/vendors to receive payments via UPI. IppoPay offers stores/sellers a simple way to accept card payments. Contactless payments acceptance through the seller’s smartphone. Sellers do not require additional hardware. Easy to set up on their own phone. Payment Gateway: Accept domestic and international payments with 100+ payment options via Payment Links, Invoice, Web API, SDKs, and eCommerce plugins.","Chennai, Tamil Nadu, India",11-50,Active,2350000,USD,2350000,2100000,USD,2100000,2022-01-11,info@ippopay.com
Communion,https://www.crunchbase.com/organization/communion-d17a,For Profit,Private,Pre-Seed,"Apps, Financial Services, FinTech",Communion is a fintech app that offers an easy-access savings account with access to financial advice and wealth building.,"London, England, United Kingdom",1-10,Active,2500000,GBP,3187251,2500000,GBP,3187250,2023-08-17,hello@communionsaves.com
Secfi,https://www.crunchbase.com/organization/secfi,For Profit,Private,Pre-Seed,"Financial Services, FinTech, Wealth Management","Secfi is trusted by thousands of startup employees for equity planning and financing. We’re the first to provide a proprietary suite of equity planning tools, 1:1 guidance with licensed equity strategists and a set of financing products that enable employees to own a stake in the company they helped build. We also provide company-wide education for startups at all stages to help their team make the best decision for their own situation. Currently, we have worked with employees from more than 80% of all U.S. unicorns. For more information, please visit www.secfi.com.","San Francisco, California, United States",51-100,Active,707000000,USD,707000000,,,,2023-04-14,hello@secfi.com
Novel Capital,https://www.crunchbase.com/organization/novel-growth-partners,For Profit,Private,Seed,"Financial Services, FinTech, Impact Investing, Venture Capital","Novel Capital’s fintech funding platform breaks down the traditional growth barriers faced by today’s B2B software companies. Their tech-first approach makes it easy for customers to leverage future recurring revenue for immediate access to non-dilutive capital. Paired with online data-driven insights and curated learning resources, the Novel platform empowers entrepreneurs to capitalize on their momentum.","Overland Park, Kansas, United States",11-50,Active,115000000,USD,115000000,,,,2022-07-18,info@novelgp.com
Front Finance,https://www.crunchbase.com/organization/front-financial,For Profit,Private,Seed,"Financial Services, FinTech","Embed read, write and transfer capabilities directly into your product. Front’s powerful platform enables your users to trade stocks and crypto or transfer crypto on platforms like Robinhood, Coinbase, and 300+ others without ever leaving your product. Users can authenticate into banks, brokerages, CeFi exchanges, or DeFi wallets with true integrations, not screen scraping. This means real-time data, no artificial transaction history caps, trading capabilities for stocks and crypto, and the ability to transfer assets. Security is at the center of everything we build and operate. We have a team of security experts with decades of experience in authentication and identity management. Front’s architecture is designed to follow the Zero Trust framework. We’re SOC 2 Type II compliant and regularly audit and enforce all policies.","San Francisco, California, United States",11-50,Active,14000000,USD,14000000,,,,2023-06-28,support@getfront.com
Gullak.Money,https://www.crunchbase.com/organization/gullak-money,For Profit,Private,Seed,FinTech,Gullak.Money aims to create an all-inclusive ecosystem of saving which is accessible to all.,"Bengaluru, Karnataka, India",11-50,Active,4778892,USD,4778892,244000000,INR,2996208,2023-01-18,Gullak643@gmail.com
actyv.ai,https://www.crunchbase.com/organization/actyv,For Profit,Private,Seed,"Artificial Intelligence, B2B, FinTech, Information Technology, SaaS","Imagine a future where B2B supply chains are revolutionised through embedded finance and insurance.  Say hello to actyv.ai, a cutting-edge B2B SaaS platform with hassle-free partner onboarding, flexible Buy Now Pay Later (BNPL) options and embedded insurance. Powered by artificial intelligence, the company has introduced a game-changing solution to transform the B2B supply chain by democratising financial inclusivity and providing innovative insurance and investment products.  The actyv.ai Offering:   •	actyvGo - Unlock top-line growth through hassle-free digitized partner onboarding and offboarding.  •	actyvScore - AI-driven multidimensional score to find the right business partner.  •	actyvPayLater - Access to purpose-based BNPL payment options for distributors and retailers.   •	actyvInsure - Bite-sized insurance options for distributors and retailers.  •	ActvvInvest - Curated investment products, like digital gold and mutual funds, for business partners to invest surplus working capital.  With these offerings, actyv.ai acts as a one-stop-solution for a diverse range of industries, including FMCG, pharma, energy and utilities, agriculture, infrastructure, and auto. With unique, cross-industry applicability, actyv.ai is vertical-agnostic platform, aimed at fostering seamless B2B interactions. Complete with partner onboarding, embedded finance, BuyNowPayLater options, insurance, and investment products, actyv.ai intends to stay at the forefront of digitalisation for businesses in India and across the globe.  Co-founded by Raghunath Subramanian and Ramkumar Thirumurthi, actyv.ai offers businesses of all sizes the ability to seamlessly interact with supply chain partners and financial institutions on a single platform. This means increased efficiency, profitability, and a smooth supply chain experience from start to finish.","Bengaluru, Karnataka, India",101-250,Active,12000000,USD,12000000,7000000,USD,7000000,2023-01-10,hello@actyv.ai
Instnt,https://www.crunchbase.com/organization/instnt,For Profit,Private,Seed,"Banking, Financial Services, FinTech, Insurance, Software","Instnt Inc. is a public benefit corporation on a mission to bring inclusion and instant account opening experiences for businesses and their customers. It is a one-of-a-kind collaborative effort between industry thought leaders, technology vendors and the private and public sector to solve for both sides of the on-boarding problem with a “Stripe for on-boarding” service offering and a new, interoperable Open Trust Protocol to make instant consumer acceptance a global reality.","New York, New York, United States",1-10,Active,6900000,USD,6900000,,,,2020-12-28,info@instnt.org
ContaAzul,https://www.crunchbase.com/organization/contaazul,For Profit,Private,Seed,"B2B, Education, Enterprise Resource Planning (ERP), Enterprise Software, Financial Services, FinTech, Internet, Sales, Software","ContaAzul is a Brazilian easy-to-use online platform for small businesses that helps to organize financial routines in one place by connecting the company to accountancy, banks, stock, electronic invoicing, and much more. ContaAzul is committed to the success of the small entrepreneurs so it guarantees the delivery of a rich and instructional material aiding in education. ContaAzul was founded on 2012 and is headquartered in Joinville, Brazil.","Joinville, Santa Catarina, Brazil",251-500,Active,36983721,USD,36983721,,,,2020-09-05,suporte@contaazul.com
