Organization Name,Organization Name URL,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
Sweater,https://www.crunchbase.com/organization/sweater,Seed,"Financial Services, FinTech, Venture Capital","Sweater is a fintech company building the first fully-managed venture capital fund that is open to everyday investors. Our mobile-first experience allows you direct access to the world's most exclusive asset class—Venture Capital. Sweater’s mission is to empower everyone to become investors in the next generation of venture-backed startups. Every founder should be able to build their vision, and every person should be able to take part in the founder journeys that create the next generation of influence and wealth.","Boulder, Colorado, United States",11-50,Active,14300000,USD,14300000,12000000,USD,12000000,2022-02-24,team@sweaterventures.com
Stake,https://www.crunchbase.com/organization/stake-properties,Seed,"Crowdfunding, FinTech, Real Estate, Real Estate Investment, Residential","Stake is a digital real estate investment platform providing the easiest and most transparent way to invest in income-generating properties, starting in Dubai. Its mission is to make investing in real estate accessible and profitable for all.","Dubai, Dubai, United Arab Emirates",11-50,Active,12000000,USD,12000000,8000000,USD,8000000,2022-08-30,contact@getstake.com
Catch,https://www.crunchbase.com/organization/catchco,Series A,"Apps, Employee Benefits, Financial Services, FinTech, Health Insurance, Insurance, InsurTech, Mobile Apps, Personal Finance, Retirement","Catch is redesigning benefits to put people at the center of their own financial stability and security. For freelancers, contractors, and workers without access to employer benefits, Catch automatically handles tax withholding, builds long-term investment savings, and provides critical insurance products. In creating a personalized safety net, Catch envisions a world where individuals can leverage data-driven curation and timely insights to gain full agency over changing needs.","New York, New York, United States",11-50,Active,18101000,USD,18101000,12000000,USD,12000000,2021-07-30,hey@catch.co
Arca,https://www.crunchbase.com/organization/arca-5fb9,Series A,"Finance, Financial Services, FinTech","Arca is an institutional grade financial services firm building products utilizing and investing in digital assets. The Arca team blends the time-tested attributes of traditional finance with the transparency, immutability, and efficiency of the blockchain to create institutional-caliber products designed to seamlessly allow today's' investors to transition into the digitally-powered global economy of the future.","Los Angeles, California, United States",1-10,Active,10000000,USD,10000000,10000000,USD,10000000,2021-01-13,info@ar.ca
Trunk Tools,https://www.crunchbase.com/organization/trunk-tools,Seed,"FinTech, Productivity Tools, Software",Trunk Tools is a construction financial technology company that aligns workers’ incentives through measurable goals based on best practices in psychology and cutting-edge AI.,"New York, New York, United States",11-50,Active,9900000,USD,9900000,9900000,USD,9900000,2023-07-13,support@trunk.tools
EMTECH,https://www.crunchbase.com/organization/emtech-9fe5,Seed,"Big Data, Developer APIs, Financial Services, FinTech, Payments","EMTECH is a fintech company that modernizes central banks for financial inclusion and financial market resilience. It offers an API-First Platform that connects central banks and fintechs for embedded regulatory compliance and central bank digital currency.  The company is building the next generation of central banking infrastructure for the Web3 era. The company was founded in 2019 and is based in New York, New York.","New York, New York, United States",11-50,Active,13000000,USD,13000000,4000000,USD,4000000,2023-08-03,info@emtech.com
Wingspan,https://www.crunchbase.com/organization/wingspan,Series A,"Financial Services, FinTech, Information Technology, Payments","Wingspan is a platform for freelancers to manage income, benefits, and taxes. Its platform sends invoices with tools that make receiving payments easier, automatically handles bookkeeping and expenses, and finds tax deductions.","New York, New York, United States",11-50,Active,17500000,USD,17500000,14000000,USD,14000000,2023-03-16,
Relay,https://www.crunchbase.com/organization/relay-financial,Series A,"Banking, Data Integration, Financial Services, FinTech, Payments, Small and Medium Businesses","Relay is banking designed for growing businesses. Easily collaborate with your team on your banking, paying bills and managing expenses. With Relay, you can open an account in minutes, issue corporate cards in seconds, and automate your payables - making financial visibility a cinch. Relay is available on iPhone, Android, and anywhere with an internet connection.","Toronto, Ontario, Canada",11-50,Active,19408517,USD,19408517,15000000,USD,15000000,2021-05-13,hello@relayfi.com
Blockfolio,https://www.crunchbase.com/organization/blockfolio,Series A,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Mobile Apps, Virtual Currency","Blockfolio offers mobile portfolio tracking and management for the cryptocurrency and blockchain industry. Blockfolio is the network for mobile cryptocurrency portfolio tracking and management. Millions of people trust Blockfolio to stay connected to the pulse of the industry through market data, news, and direct updates from leaders of top crypto projects. Blockfolio is committed to providing free access to our users and token team partners.","Santa Monica, California, United States",11-50,Active,17500000,USD,17500000,2550000,USD,2550000,2019-08-05,support@blockfolio.com
Decentro,https://www.crunchbase.com/organization/decentro,Series A,"Banking, Developer APIs, Financial Services, FinTech, Payments, Software","Decentro develops an API banking software platform designed to launch products in a hassle free way. The platform integrates with desired banking APIs permitting financial integrations with a few lines of code and claims to simplify the product development cycle, enabling clients to simplify the integration processes.","Singapore, Central Region, Singapore",11-50,Active,4700000,USD,4700000,4700000,USD,4700000,2022-10-31,hello@decentro.tech
Goalsetter,https://www.crunchbase.com/organization/goalsetter,Series A,"Debit Cards, Financial Services, FinTech, Gift Registry, Payments","Goalsetter is a goal-based savings and gifting platform, made just for kids and powered by those who love them. It combines the best of goal-based savings platforms like Digit and Acorns with the best of gift-registries like Zola and Honeyfund, and in so doing, targets the millennial mom with a platform that enables families to contribute to kids’ future goals instead of buying them more consumer goods. In turn, Goalsetter becomes a savings vehicle for kids, turning first-time savers into all-the-time savers and giving kids healthy financial habits that will last a lifetime.","New York, New York, United States",11-50,Active,19507500,USD,19507500,15000000,USD,15000000,2021-12-01,info@goalsetter.co
Qashio,https://www.crunchbase.com/organization/qashio,Seed,"Accounting, Financial Services, FinTech, Payments, Productivity Tools, Software","Qashio is a spend management platform that allows people to monitor costs, make payments with app credit cards, and handle payables. Qashio's solution allows users o create physical or virtual cards, disburse budgets, grant or restrict employee usage, set approval layers, and verify spending. Companies can track card usage and analyze and report spending, in real time. Qashio eliminates the challenges of managing company spending and removes outdated, manual processes. Founded in 2021 and is based in Dubai.","Dubai, Dubai, United Arab Emirates",11-50,Active,12500000,USD,12500000,10000000,USD,10000000,2022-11-22,sales@qashio.com
Numeral,https://www.crunchbase.com/organization/numeral-479d,Seed,"Finance, Financial Services, FinTech","Numeral is a payment automation API designed for modern financial institutions, digital firms, and businesses.","Paris, Ile-de-France, France",1-10,Active,13000000,EUR,14673498,13000000,EUR,14673497,2021-12-21,
CertifID,https://www.crunchbase.com/organization/certifid,Series A,"B2B, Cyber Security, FinTech, InsurTech, Real Estate, SaaS","CertifID is a leader in wire fraud protection. We safeguard billions of dollars every month from fraud with advanced software, insurance, and proven recovery services. Trusted by title companies, law firms, lenders, realtors, and home buyers and sellers - CertifID provides further peace of mind with up to $1M in direct insurance coverage on every wire it protects. CertifID software uses the latest digital device verification, and multi-factor and knowledge-based authentication technologies, to analyze more than 150 markers of fraud in a matter of minutes. During the closing process, CertifID customers can store wiring instructions with a few clicks and securely share with home buyer and seller clients in seconds. For mortgage payoffs, CertifID replaces a historically long callback process with machine-learning software that validates more than 5,000+ mortgage servicers, including hard to validate lenders like Mr. Cooper. And we offer verification support from our team if the software can’t automatically validate the payoff. (Even these cases are usually resolved within less than 1-2 business days.) CertifID also provides recovery services to businesses and consumers hit with fraud, even if you aren’t yet using our software. We’ve partnered with federal law enforcement to recover $52M+ for fraud victims in the past two years, at a recovery rate 2x industry average.","Austin, Texas, United States",11-50,Active,16350000,USD,16350000,12500000,USD,12500000,2022-05-16,info@certifid.com
Topkey,https://www.crunchbase.com/organization/topkey,Seed,"FinTech, Real Estate, Software, Vacation Rental","Topkey is an app that tracks expenses by property, sync transactions across systems, and save tons of money on bookkeeping. Topkey was founded in 2020 and was headquartered in San Francisco, USA.","San Francisco, California, United States",1-10,Active,5200000,USD,5200000,5200000,USD,5200000,2023-07-05,info@topkey.io
Finaloop,https://www.crunchbase.com/organization/finaloop,Seed,"Accounting, E-Commerce, FinTech, SaaS, Small and Medium Businesses","Finaloop is a bookkeeping and business tax filing solution for U.S. online sellers. We seamlessly integrate with your digital apps and handle your accounting from start to finish, for you. You do not need to hire bookkeepers or tax accountants. With Finaloop, you can finally get real-time insight into your finances, save time and money.","Brooklyn, New York, United States",11-50,Active,17000000,USD,17000000,15200000,USD,15200000,2021-10-01,info@finaloop.com
Jodo,https://www.crunchbase.com/organization/jodo,Series A,"Financial Services, FinTech",Jodo was founded at the beginning of the year 2020 with a mission to positively impact the lives of people through well-designed financial products. We believe that financial products can have the power to significantly improve the lives of people if it is designed with the end-needs in focus. Year-long research trying to understand these needs has culminated in the founding of Jodo. Jodo aims to be a full-service financial services player with multiple products enabling millions of people to meet their needs.,"Bangalore, Karnataka, India",1-10,Active,18814000,USD,18814000,15000000,USD,15000000,2022-08-08,
Cable,https://www.crunchbase.com/organization/cable-tech,Series A,"Compliance, Finance, FinTech, Information Services, Risk Management","Cable Tech develops a financial risk control platform that helps reduce the amount of financial crime. Its platform features automated, independent effectiveness testing and assurance for controls and real-time alerts that help clients manage, track, and demonstrate complete oversight of the controls.","London, England, United Kingdom",11-50,Active,16300000,USD,16300000,11000000,USD,11000000,2023-05-11,
Finary,https://www.crunchbase.com/organization/finary,Seed,"Asset Management, FinTech, Social Network, Trading Platform","Finary is a messaging platform for investors. A place where people come together to talk about their investments, hangout, and more.","New York, New York, United States",1-10,Active,3325000,USD,3325000,,,,2021-12-26,roger@finary.io
IppoPay,https://www.crunchbase.com/organization/ippopay,Seed,"Financial Services, FinTech, Payments, Small and Medium Businesses","IppoPay provides Payment Solutions to Small businesses, SMEs, and Freelancers. IppoPay is a Payment Aggregator for businesses that collect and accept payments from their customers using Payment links, Invoice, Subscription, Social Commerce, and UPI. We target businesses, freelancers, homeprenures, and people who do business in Tier 2 and 3 cities, and rural areas Subscription: IppoPay helps small business like milk vendors, newspaper agencies, and Service AMC business/individuals to receive monthly/weekly/daily recurring payments Social Commerce: IppoPay helps bring offline business online. Create your online store in 20 sec. Create an online, showcase & manage your products over social media and increase your sales. UPI and Tap to Phone: We have all kinds of stores/vendors to receive payments via UPI. IppoPay offers stores/sellers a simple way to accept card payments. Contactless payments acceptance through the seller’s smartphone. Sellers do not require additional hardware. Easy to set up on their own phone. Payment Gateway: Accept domestic and international payments with 100+ payment options via Payment Links, Invoice, Web API, SDKs, and eCommerce plugins.","Chennai, Tamil Nadu, India",11-50,Active,2350000,USD,2350000,2100000,USD,2100000,2022-01-11,info@ippopay.com
Dinari,https://www.crunchbase.com/organization/dinari,Seed,"Finance, Financial Services, FinTech","Dinari offers global employee stock options and incentive management. It delivers a wide range of services from equity management and options grants to payroll compliance, taxes, and vesting schedules.","Palo Alto, California, United States",1-10,Active,7500000,USD,7500000,7500000,USD,7500000,2023-07-12,privacy@dinari.com
Listo,https://www.crunchbase.com/organization/listo-financial,Series A,"Consumer Lending, Financial Services, FinTech, Insurance","Listo Financial is a consumer financial services company that offers Latino consumers in the US insurance products and loans through technology-based retail and mobile experiences. Founded in 2014, the company is headquartered in San Jose, California, United States.","San Jose, California, United States",11-50,Active,11443691,USD,11443691,,,,2021-11-08,
SaveIN,https://www.crunchbase.com/organization/savein,Seed,"Credit, FinTech, Health Care",SaveIN is a healthcare fintech platform that helps Indians access quality healthcare across its network of clinics and wellness centers offering flexible payment plans,"New Delhi, Delhi, India",11-50,Active,628000000,INR,8023598,82000000,INR,989110,2022-12-26,support@savein.money
Everyware,https://www.crunchbase.com/organization/b-everyware,Series A,"Billing, Financial Services, FinTech, Mobile, Mobile Payments, Payments, SMS, Software","Everyware provides a secure, user-friendly payment collection and two-way messaging platform. It provides smart payment integration layered with add-ons to deliver faster service, reduce costs, and provide higher levels of customer service, enabling clients to improve post-sale communication ad puts money back into their bottom line.","Austin, Texas, United States",11-50,Active,9150000,USD,9150000,,,,2020-10-20,info@everyware.com
Front Finance,https://www.crunchbase.com/organization/front-financial,Seed,"Financial Services, FinTech","Embed read, write and transfer capabilities directly into your product. Front’s powerful platform enables your users to trade stocks and crypto or transfer crypto on platforms like Robinhood, Coinbase, and 300+ others without ever leaving your product. Users can authenticate into banks, brokerages, CeFi exchanges, or DeFi wallets with true integrations, not screen scraping. This means real-time data, no artificial transaction history caps, trading capabilities for stocks and crypto, and the ability to transfer assets. Security is at the center of everything we build and operate. We have a team of security experts with decades of experience in authentication and identity management. Front’s architecture is designed to follow the Zero Trust framework. We’re SOC 2 Type II compliant and regularly audit and enforce all policies.","San Francisco, California, United States",11-50,Active,14000000,USD,14000000,,,,2023-06-28,support@getfront.com
Thinknum,https://www.crunchbase.com/organization/thinknum,Series A,"Analytics, Database, Finance, FinTech","Thinknum is a web platform that allows investors to get data driven investment ideas by monitoring companies' websites. Investors and financial analysts use Thinknum's tools for research, data analysis, and collaboration enabling them to generate unique insights.","New York, New York, United States",11-50,Active,12600000,USD,12600000,11600000,USD,11600000,2019-03-20,support@thinknum.com
Layr,https://www.crunchbase.com/organization/unbrokerage-inc,Series A,"Artificial Intelligence, Commercial Insurance, Financial Services, FinTech, Insurance, InsurTech, Internet","We use AI and machine learning to match companies with the right commercial insurance, at the right price, through top-rated carriers. The application is 100% online with our team of expert brokers available to help with any questions along the way. We focus on cash-flow-friendly payment options (pay monthly instead of annually and use your credit card) and easy in-app policy updates. With Layr, check “Buy Business Insurance” off your list and get back to what you do best.","Atlanta, Georgia, United States",11-50,Active,15625000,USD,15625000,10000000,USD,10000000,2022-03-21,hello@withlayr.com
Astra,https://www.crunchbase.com/organization/astra-3,Series A,"Financial Services, FinTech, Personal Finance, Software","Astra is an automation platform for the movement of money. Through powerful financial APIs, Astra enables consumers to move funds between depository accounts based on rules or build out virtual accounts on their existing financial accounts.","Menlo Park, California, United States",11-50,Active,14900000,USD,14900000,10000000,USD,10000000,2022-10-13,hello@astra.finance
Glean AI,https://www.crunchbase.com/organization/glean-analytics,Seed,"Artificial Intelligence, FinTech, Machine Learning, Payments, SaaS, Software","Glean is the all-in-one spend management solution for small and mid-market companies. It is an AI-powered spend intelligence solution that saves companies money by analyzing expense drivers and finding line-item level insights often overlooked by finance teams and budget owners. The company is based in New York, United States.","New York, New York, United States",11-50,Active,10800000,USD,10800000,7800000,USD,7800000,2022-03-08,
Dfns,https://www.crunchbase.com/organization/xkey,Seed,"Blockchain, Cryptocurrency, Cyber Security, Developer Tools, FinTech, SaaS","Dfns is a cybersecurity company that builds custody* SaaS protocol for web3 apps. Think of it as a developer tool that provides secure cloud for crypto.  Our mission is to bring serenity to DeFi by eliminating new blockchain risks and vulnerabilities, and making crypto transactions easier, faster, more affordable, and compliant with exisiting regulations.   From fintechs to large banks to e-commerce sites, Dfns gives platforms the freedom to manage and transfer crypto on a battle-designed security infrastructure. Our API is designed to offer best-in-class developer experience and allows any app to deploy custodial wallets in a matter of days, with streamlined feature delivery and security upgrades.   At the core of our infra runs a keyless wallet generation process (zk protocol) enabling clients to send, deposit, and store any digital asset (crypto, STO, NFT, etc.) with peace of mind. Dfns is powered by a decentralized custody network designed to break up the inner complications of blockchains, remove all single points of failure, and reinstate frictionless business environments. Today, more than 100 companies such as Paxos, Bitgo, Kraken, Coinbase, ConsenSys, Galaxy, Blockfi, Metamask, Figment, Fidelity, and JP Morgan have registered on our waitlist to try out our solutions.   Founded in 2020 in Paris, Dfns is a startup incubated at Station F (awarded Future 40), backed by Techstars and recognized DeepTech by the French Ministry of Economy. Our company is fully remote with offices in Paris, Amsterdam, New York, London, Stockholm, Sofia, and other cities.   *Crypto custody requires maximum security. Don’t DIY. We're hiring! jobs@dfns.co. For media enquiries: press@dfns.co","Paris, Ile-de-France, France",11-50,Active,14592408,USD,14592408,13500000,USD,13500000,2022-04-13,contact@dfns.co
Nira,https://www.crunchbase.com/organization/nira,Seed,"Credit, Financial Services, FinTech, Lending","Nira promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Bangalore, Karnataka, India",11-50,Active,6692906,USD,6692906,186800000,INR,2472906,2022-02-10,support@nirafinance.com
Range,https://www.crunchbase.com/organization/pylon-3c13,Series A,"Financial Services, FinTech, Wealth Management","Range provides a wealth management dashboard and expert advisory service for high earners. It empowers users to get the most out of their money with investment services, retirement planning, estate planning, tax planning, insurance optimization, and more.","Mclean, Virginia, United States",11-50,Active,12000000,USD,12000000,12000000,USD,12000000,2023-05-03,support@range.com
Neat,https://www.crunchbase.com/organization/neat,Series A,"Financial Services, FinTech, Mobile, Payments","Built for entrepreneurs, by entrepreneurs As entrepreneurs our businesses are always in motion: starting from an idea, to making a first sale, to expanding globally. We need a financial experience that evolves with us – an experience that’s still stable and secure, but adaptive too.  Banks were built for a different era of business, not for the new economy – where borders are disappearing and it’s easier than ever to start a global business. Neat believes in making international business a reality for entrepreneurs around the world.  Today, Neat is a modern alternative to a bank, designed to support you wherever you go.  Tomorrow, we’re a platform for doing business: building a dynamic and frictionless economy.","Wan Chai, Hong Kong Island, Hong Kong",11-50,Active,20000000,USD,20000000,4000000,USD,4000000,2020-08-19,support@neat.hk
Farther Finance,https://www.crunchbase.com/organization/farther-finance,Series A,"Finance, Financial Services, FinTech, Impact Investing, Wealth Management",Farther Finance is a developer of an investment advisory platform used to provide modern technology with trusted advice. Its platform offers investment advice on allocations of exchange-traded funds based on personalized information that each client provides via the firm's platform and uses a proprietary algorithm to implement model portfolios designed by investment experts with target asset allocations of equity and fixed-income that enable clients to get access to ETFs that preserve capital and capital growth over long term horizons based on their financial situation and risk tolerance. Farther Finance was established in 2019 and is headquartered in New York.,"New York, New York, United States",1-10,Active,15000000,USD,15000000,15000000,USD,15000000,2022-05-01,hello@farther.com
Wealth.com,https://www.crunchbase.com/organization/wealth-67af,Seed,"Artificial Intelligence, Financial Services, FinTech, Machine Learning, Wealth Management","Wealth is a comprehensive estate planning platform that empowers people to create, manage and visualize their plans digitally. Creating an estate plan with Wealth gives your loved ones a holistic view of all your assets, visualized and securely stored in one place. Because life is unpredictable, Wealth makes it easy for you to access your plan anytime and offers guidance to keep it current and valid. And should the unthinkable occur, your trusted beneficiaries are granted emergency access to your plan. Wealth is available to companies as an employee benefit, allowing employers to offer their workforce a meaningful financial wellness opportunity.","Phoenix, Arizona, United States",11-50,Active,16000000,USD,16000000,16000000,USD,16000000,2022-03-22,
Meanwhile,https://www.crunchbase.com/organization/meanwhile-3fc0,Seed,"Bitcoin, Cryptocurrency, Financial Services, FinTech, Insurance, InsurTech, Life Insurance","Meanwhile's BTC whole life product is designed for anyone who plans to HODL BTC for the long term, is interested in intergenerational wealth creation and transfer, and loves tax-advantaged structures.  Meanwhile is the first long-term insurer anywhere to operate in a digital asset. It is an insurance company entirely denominated in BTC and regulated by the Bermuda Monetary Authority. It accepts premiums and pays claims in BTC and does its reserves and audited financials in BTC.  The initial product is a tax-efficient way to hold Bitcoin with guaranteed growth and return (in BTC terms), allows for liquidity through lending, and is easy to set up. A user pays in ten equal installments (or partially upfront through a premium deposit account) and then designates beneficiaries to receive a fixed payout upon death. As the policy accumulates in value, users can take out a tax-free policy loan.","Hamilton, Hamilton, Bermuda",1-10,Active,19000000,USD,19000000,19000000,USD,19000000,2023-06-06,info@meanwhile.bm
Zapper,https://www.crunchbase.com/organization/defizap,Series A,"Blockchain, Financial Services, FinTech","Zapper is a fintech platform that manages all DeFi assets from one simple interface. It levels the playing field for decentralized finance (DeFi) newcomers and the most advanced investors by providing shortcuts (Zaps) to enter DeFi lending, automated yield farming, and liquidity provisions.","Montréal, Quebec, Canada",11-50,Active,17000000,USD,17000000,15000000,USD,15000000,2021-05-17,contact@zapper.fi
Ness,https://www.crunchbase.com/organization/ness-a336,Seed,"Financial Services, FinTech, Health Care, Internet","Ness builds a credit card-first wedge into healthcare. It allows its user to earn rewards for healthy purchases and access exclusive perks to complement their lifestyle. It was established in 2021 and is based in New York, United States.","New York, New York, United States",11-50,Active,15500000,USD,15500000,15500000,USD,15500000,2022-05-10,
Verto,https://www.crunchbase.com/organization/vertofx,Series A,"Finance, Financial Services, FinTech, Payments, Small and Medium Businesses",We power cross‑border payments for the world’s fastest‑growing startups and enterprises; with a specific focus on emerging markets. Send and receive instant payments globally through a single API or via our web platform.,"London, England, United Kingdom",1-10,Active,12250000,USD,12250000,10000000,USD,10000000,2021-09-30,
Piggyvest,https://www.crunchbase.com/organization/piggybank.ng,Seed,"Banking, Debit Cards, Finance, Financial Services, FinTech","Piggyvest enables Nigerian debit card holders save little amounts of money frequently with minimal effort. They automate the process of saving tiny amounts daily, weekly, or monthly; and then allowing you to withdraw for free on only set withdrawal dates thereby practically making saving more possible for you by eliminating the temptation to withdraw. Piggyvest is a platform that helps individuals and businesses manage their finances effectively - save and invest with ease. As Piggybank.ng, Piggyvest operated in partnership with 2 Microfinance banks and used their licenses. However, in early 2018, Piggyvest acquired Gold Microfinance bank and its license. Piggyvest is also a registered cooperative- Piggytech Cooperative Multipurpose Society Limited (Registration number, 16555).  All saved funds are now warehoused with and managed by AIICO Capital, the leading asset management company in Nigeria, registered and licensed by the Securities and Exchange Commission (SEC).","Lagos, Lagos, Nigeria",11-50,Active,1150000,USD,1150000,1100000,USD,1100000,2018-05-31,contact@piggyvest.com
